アプリケーション名,今日の起動時間,累積起動時間,最終起動日時,toggleと連携するか,連携プロジェクト名
torcs_1.3.4_setup,0,0,-, True,                                        無し
launcher,0,0,-, True,                                   無し
chrome,12,2380,2019/03/27 10:21, True,                                   無し
texstudio,0,101,2019/03/27 04:39, True,                                   無し
devenv,12,2467,2019/03/27 10:21, True,                                   無し
wmplayer,0,0,-, True,                                   無し
notepad,9,1050,2019/03/27 10:21, True,                
gswin32,0,0,-, False,    
Evernote.ico,0,0,-, False,  
Google ドライブ,0,0,-, False,  
BLR,0,0,-, False,  
